"Term","Campus","CRN","Course","Section","Cr Hrs","Course Title","Course Additional Information","Instructional Method","Instructor","Room","Session","Days","Time","Actual Enrolled","Max Enrolled","CCE Reserved","FYS Reserved","Un- reserved Available","Cross List Enrolled","Syllabus_Link"
201710,Direct Study Abroad,11960,ABRD 999,010,0,Abroad Invce-Direct Study Abrd,,,, ,Full Term Courses,TBA,TBA,7,25,0/0,0/0,18,,
201710,Guilford,10579,ACCT 201,001,4,Introduction to Accounting,,,"Cardwell, Ronald",BAUM 202,Full Term Courses,MW,11:30am - 12:45pm,31,35,0/0,0/0,4,,
201710,Guilford,10204,ACCT 201,002,4,Introduction to Accounting,,,"Parks, Karen",BAUM 205,Full Term Courses,TR,1:00pm - 2:15pm,33,35,0/0,0/0,2,,
201710,Guilford,10205,ACCT 201,003,4,Introduction to Accounting,,,"Parks, Karen",BAUM 202,Full Term Courses,M,8:10pm - 10:10pm,30,35,0/0,0/0,5,,
201710,Guilford,11520,ACCT 300,001,4,Advanced Fraud Examinations,Fast Track I. Prerequisite: ACCT 200 and ACCT 201.,,"Granger, Henry",BAUM 203,First half of semester course,MW,6:00pm - 8:00pm,16,35,0/0,0/0,19,,
201710,Guilford,11282,ACCT 301,001,4,Intermediate Accounting I,Prerequisite: ACCT 201.,,"Cardwell, Ronald",BAUM 203,Full Term Courses,M,8:10pm - 10:10pm,12,35,0/0,0/0,23,,
201710,Guilford,10210,ACCT 302,001,4,Intermediate Accounting II,Fast Track I.  Prerequisite:  ACCT 301.,,"Cardwell, Ronald",BAUM 205,First half of semester course,MW,6:00pm - 8:00pm,7,35,0/0,0/0,28,,
201710,Guilford,10212,ACCT 303,001,4,Intermediate Accounting III,Fast Track II.  Prerequisite:  ACCT 302.,,"Granger, Henry",BAUM 205,Second half of semester course,MW,6:00pm - 8:00pm,8,35,0/0,0/0,27,,
201710,Guilford,10213,ACCT 311,001,4,Cost Accounting,Prerequisite:  ACCT 201.,,"Parks, Karen",BAUM 205,Full Term Courses,MW,10:00am - 11:15am,17,35,0/0,0/0,18,,
201710,Guilford,10995,ACCT 311,002,4,Cost Accounting,Prerequisite:  ACCT 201.,,"Parks, Karen",BAUM 205,Full Term Courses,W,8:10pm - 10:10pm,14,35,0/0,0/0,21,,
201710,Guilford,10214,ACCT 322,001,4,Taxatn of Corp & Partnerships,Prerequisite:  ACCT 321 recommended.,,"Cardwell, Ronald",BAUM 202,Full Term Courses,W,8:10pm - 10:10pm,11,35,0/0,0/0,24,,
201710,Guilford,10215,ACCT 411,001,4,Auditing,Prerequisite:  ACCT 303.,,"Granger, Henry",BAUM 205,Full Term Courses,M,8:10pm - 10:10pm,33,35,0/0,0/0,2,,
201710,Guilford,11284,ACCT 412,001,4,Advanced Forensic Investigatns,Prerequisite: ACCT 310 and ACCT 320.,,"Granger, Henry",BAUM 203,Full Term Courses,W,8:10pm - 10:10pm,23,35,0/0,0/0,12,,
201710,Guilford,11856,AFAM 106,001,4,Intro to African Heritage,,,"Gwako, Edwins",KING B24,Full Term Courses,MW,10:00am - 11:15am,24,25,0/0,0/0,1,28,
201710,Guilford,11835,ART 100,001,4,Introduction to Visual Arts,,,"Shields, Kathryn",BAUM 202,Full Term Courses,MW,10:00am - 11:15am,24,25,,9/1,1,,
201710,Guilford,10018,ART 102,001,4,Two-Dimensional Design,,,"Williams, Antoine",HCOX 23,Full Term Courses,TR,4:00pm - 5:50pm,23,22,,3/1,0,,
201710,Guilford,11571,ART 104,002,4,Drawing Fundamentals,,,"Collier, Kaitlyn",HCOX 23,Full Term Courses,TF,10:00am - 11:50am,22,22,,3/1,0,,
201710,Guilford,10022,ART 106,001,4,Three-Dimensional Design,Course fee: $60.,,"Stein, Megan",HCOX 11A,Full Term Courses,MW,9:30am - 11:20am,17,16,,1/1,0,,
201710,Guilford,10023,ART 140,001,4,Ceramics I,Course fee:  $75.,,"Tefft, Charles",HCOX 13A,Full Term Courses,MW,8:30am - 10:20am,11,12,,2/1,1,,
201710,Guilford,11836,ART 172,001,4,"Arts:Afr,Asia & the Americas",,,"Shields, Kathryn",KING 202,Full Term Courses,TR,1:00pm - 2:15pm,27,25,,3/1,0,,
201710,Guilford,11375,ART 204,001,4,lI,Prerequisite:  ART 104 or instructor permission.,,"Collier, Kaitlyn",HCOX 23,Full Term Courses,TR,1:00pm - 2:50pm,9,18,0/0,0/0,9,,
201710,Guilford,10029,ART 212,001,4,Painting II,Course fee:  $60.  Prerequisite:  ART 211 or instructor permission.,,"Williams, Antoine",HCOX 21,Full Term Courses,MW,10:00am - 11:50am,3,8,0/0,0/0,5,,
201710,Guilford,11549,ART 231,001,4,Photography II,Course fee:  $70.  Prerequisite:  ART 130 or instructor permission.,,"Dery, Maia",HCOX B01,Full Term Courses,TR,4:00pm - 5:50pm,6,12,0/0,0/0,6,,
201710,Guilford,11918,ART 235,001,4,Renaissance in Florence,,,"Kircher, Timothy",DUKE 305,Full Term Courses,TR,4:00pm - 5:15pm,8,25,0/0,0/0,17,17,
201710,Guilford,11699,ART 240,001,4,Ceramics II,Course fee: $75. Prerequisite: ART 140 or instructor permission.,,"Tefft, Charles",HCOX 13A,Full Term Courses,MW,11:30am - 1:20pm,8,12,0/0,0/0,4,,
201710,Guilford,11715,ART 245,001,4,Digital Darkroom,,,"Dery, Maia",BAUM L020,Full Term Courses,TR,1:00pm - 2:50pm,17,18,0/0,0/0,1,,
201710,Guilford,11834,ART 278,001,4,History of Photography,,,"Shields, Kathryn",BAUM 203,Full Term Courses,MW,11:30am - 12:45pm,18,25,0/0,0/0,7,,
201710,Guilford,11701,ART 308,001,4,Advanced Photography I,Prerquisite: Instructor permission. Course fee: $55.,,"Dery, Maia",HCOX B01,Full Term Courses,TR,4:00pm - 5:50pm,0,4,0/0,0/0,4,,
201710,Guilford,10030,ART 311,001,4,Painting III,Course fee: $60. Prerequisite:  ART 212 or instructor permission.,,"Williams, Antoine",HCOX 21,Full Term Courses,MW,10:00am - 11:50am,2,8,0/0,0/0,6,,
201710,Guilford,11702,ART 323,001,4,Printmaking: Etching,Prerequisite: ART 221. Course fee: $60.,,"Collier, Kaitlyn",HCOX 22,Full Term Courses,TR,4:00pm - 5:50pm,5,25,0/0,0/0,20,,
201710,Guilford,10802,ART 353,001,4,Sculpture II,Course fee: $60. Prerequisite:  ART 251 or instructor permission.,,"Stein, Megan",HCOX 11A,Full Term Courses,MR,2:30pm - 4:20pm,5,8,0/0,0/0,3,,
201710,Guilford,11552,ART 453,001,4,Sculpture III,Course fee:  $60.  Prerequisite:  ART 352 or instructor permission.,,"Stein, Megan",HCOX 11A,Full Term Courses,MR,2:30pm - 4:20pm,2,8,0/0,0/0,6,,
201710,Guilford,10580,ART 479,001,2,Professional Practices for Art,Required course for senior Art majors registered for senior thesis.,,"Hammond, Theresa",LIBR ,Full Term Courses,M,2:30pm - 3:45pm,5,25,0/0,0/0,20,,
201710,Guilford,11703,ART 480,001,4,Senior Thesis I,"Prerequisite: Advanced standing, 3.25 GPA in ART courses and permission of department chair.",,"Williams, Antoine",HCOX ,Full Term Courses,MR,4:00pm - 5:50pm,5,10,0/0,0/0,5,,
201710,Guilford,10032,ART 481,001,4,Senior Thesis II,"Prerequisite:  Advanced standing and 3.25 GPA in ART courses and permission of department chair, BFA candidate.",,"Williams, Antoine",HCOX ,Full Term Courses,MR,4:00pm - 5:50pm,0,10,0/0,0/0,10,,
201710,Guilford,11969,BIOL 111,003,4,Integrative Biol:Molecule/Cell,Corequisite: Associated Lab,,"Brendley, Bryan",FRNK 121,Full Term Courses,TF,11:30am - 12:45pm,26,24,0/0,0/0,0,,
201710,Guilford,11970,BIOL 111,004,0,Lab,,,"Brendley, Bryan",FRNK L26,Full Term Courses,T,2:30pm - 5:20pm,26,24,0/0,0/0,0,,
201710,Guilford,10947,BIOL 111,005,4,Integrative Biol:Molecule/Cell,Corequisite:  Associated lab.,,"Gooch, Randy",FRNK L26,Full Term Courses,TR,1:00pm - 2:15pm,23,24,,5/1,1,,
201710,Guilford,10948,BIOL 111,006,0,Lab,,,"Gooch, Randy",FRNK L26,Full Term Courses,R,2:30pm - 5:20pm,23,24,,5/1,1,,
201710,Guilford,11289,BIOL 111,007,4,Integrative Biol:Molecule/Cell,Corequisite:  Associated lab.,,"West, Kenneth",FRNK L26,Full Term Courses,T,7:25pm - 10:10pm,18,24,0/0,0/0,6,,
201710,Guilford,11290,BIOL 111,008,0,Lab,,,"West, Kenneth",FRNK L26,Full Term Courses,R,7:25pm - 10:10pm,18,24,,4/1,6,,
201710,Guilford,10960,BIOL 112,001,4,"Intgrtve Biol:Orgnsm,Ecol,Evol",Corequisite:  Associated lab.,,"East, David",FRNK L07,Full Term Courses,MW,8:30am - 9:45am,24,24,,5/1,0,,
201710,Guilford,10961,BIOL 112,002,0,Lab,,,"East, David",FRNK L07,Full Term Courses,F,8:30am - 11:20am,24,24,,5/1,0,,
201710,Guilford,10950,BIOL 112,003,4,"Intgrtve Biol:Orgnsm,Ecol,Evol",Corequisite:  Associated lab.,,"White, Megan",FRNK L07,Full Term Courses,MW,11:30am - 12:45pm,21,21,,5/1,0,,
201710,Guilford,10951,BIOL 112,004,0,Lab,,,"White, Megan",FRNK L07,Full Term Courses,M,2:30pm - 5:20pm,21,21,,5/1,0,,
201710,Guilford,10067,BIOL 115,001,4,General Botany,Labs alternate with class periods. Recommended for non-science majors.,,"Keegan, Frank",FRNK 102,Full Term Courses,W,8:10pm - 10:10pm,22,20,0/0,0/0,0,,
201710,Guilford,10070,BIOL 245,001,4,Introduction Forensic Science,Labs alternate with class periods. Recommended for non-science majors.,,"Keegan, Frank",FRNK 102,Full Term Courses,M,8:10pm - 10:10pm,20,20,0/0,0/0,0,,
201710,Guilford,10946,BIOL 291,001,4,Intro Into Scientific Inquiry,"Corequisite:  Associated lab.  Prerequisites:  BIOL 111, BIOL 112, and Historical Perspectives.",,"Gooch, Randy",FRNK 110,Full Term Courses,MW,8:30am - 9:45am,11,20,0/0,0/0,9,,
201710,Guilford,10949,BIOL 291,002,0,Lab,,,"Gooch, Randy",FRNK 110,Full Term Courses,R,8:30am - 11:20am,11,20,0/0,0/0,9,,
201710,Guilford,10463,BIOL 313,001,4,Molecular Cell Biology,"Corequisite:  Associated lab.  Prerequisites:  BIOL 111, CHEM 112 or BIOL 246.",,"Brendley, Bryan",FRNK 121,Full Term Courses,MW,10:00am - 11:15am,11,24,0/0,0/0,13,,
201710,Guilford,10464,BIOL 313,002,0,Lab,,,"Brendley, Bryan",FRNK 121,Full Term Courses,R,2:30pm - 5:20pm,11,24,0/0,0/0,13,,
201710,Guilford,10076,BIOL 336,001,4,Ornithology,Corquisite:  Associated lab.  Prerequisite:  BIOL 112.,,"Moseley, Lynn",FRNK 129,Full Term Courses,TF,10:00am - 11:15am,8,16,0/0,0/0,8,,
201710,Guilford,10077,BIOL 336,002,0,Lab,,,"Moseley, Lynn",FRNK 129,Full Term Courses,T,2:30pm - 5:20pm,8,16,0/0,0/0,8,,
201710,Guilford,10080,BIOL 342,001,4,Human Anatomy & Physiology II,Corequisite:  Associated lab.  Prerequisite:  BIOL 341.,,"East, David",FRNK 109,Full Term Courses,MW,10:00am - 11:15am,22,20,0/0,0/0,0,,
201710,Guilford,10081,BIOL 342,002,0,Lab,,,"East, David",FRNK 109,Full Term Courses,M,2:30pm - 5:20pm,22,20,0/0,0/0,0,,
201710,Guilford,11295,BIOL 342,003,4,Human Anatomy & Physiology II,Corequisite:  Associated lab.  Prerequisite: BIOL 341.,,"East, David",FRNK 109,Full Term Courses,MW,11:30am - 12:45pm,23,20,0/0,0/0,0,,
201710,Guilford,11296,BIOL 342,004,0,Lab,,,"East, David",FRNK 109,Full Term Courses,T,2:30pm - 5:20pm,23,20,0/0,0/0,0,,
201710,Guilford,10082,BIOL 342,005,4,Human Anatomy & Physiology II,Corequisite:  Associated lab.  Prerequisite: BIOL 341.,,"West, Kenneth",FRNK 109,Full Term Courses,M,6:00pm - 8:00pm,11,24,0/0,0/0,13,,
201710,Guilford,10083,BIOL 342,006,0,Lab,,,"West, Kenneth",FRNK 109,Full Term Courses,W,6:00pm - 8:00pm,11,24,0/0,0/0,13,,
201710,Guilford,10087,BIOL 349,001,4,Forensic Anthropology,Lab on alternate Mondays.  Prerequisites:  BIOL 245 and BIOL 341 or instructor permission.  Enrollment limited to forensic biol majors.,,"Brendley, Bryan",FRNK 121,Full Term Courses,M,8:10pm - 10:10pm,14,24,0/0,0/0,10,,
201710,Guilford,10088,BIOL 434,001,4,Biochemistry,Corequisite:  Associated lab.  Prerequisites: BIOL 111 and CHEM 232.,,"Lee-Brown, Melanie",FRNK 110,Full Term Courses,MWR,10:00am - 11:15am,9,11,0/0,0/0,2,17,
201710,Guilford,10089,BIOL 434,002,0,Lab,,,"Lee-Brown, Melanie",FRNK 110,Full Term Courses,M,2:30pm - 5:20pm,9,11,0/0,0/0,2,17,
201710,Guilford,10942,BIOL 438,001,4,General Ecology,Corequisite:  Associated lab.  Prerequisites:  BIOL 111 and BIOL 112.,,"Wagoner, Kaira",FRNK L07,Full Term Courses,TR,1:00pm - 2:15pm,10,12,0/0,0/0,2,,
201710,Guilford,10943,BIOL 438,002,0,Lab,,,"Wagoner, Kaira",FRNK L07,Full Term Courses,R,10:00am - 12:50pm,10,12,0/0,0/0,2,,
201710,Guilford,11406,BIOL 475,001,2,Research Seminar,,,"Lee-Brown, Melanie",FRNK 110,Full Term Courses,W,6:00pm - 8:00pm,5,16,0/0,0/0,11,6,
201710,Guilford,11669,BUS 110,001,2,Math and Algebra for Business,Hybrid coruse. Course fee: $79. Class will meet first half of semester.,,"Samsell, Darryl",BAUM L024,First half of semester course,M,6:00pm - 8:00pm,12,24,,2/1,12,,
201710,Guilford,10470,BUS 120,001,4,Introduction to Business,,,"Hill, Stephen",BAUM L024,Full Term Courses,TF,10:00am - 11:15am,26,25,,8/1,0,,
201710,Guilford,10469,BUS 120,002,4,Introduction to Business,,,"Dutch, Michael",KING 205,Full Term Courses,MW,11:30am - 12:45pm,24,23,,11/1,0,,
201710,Guilford,11865,BUS 120,003,4,Introduction to Business,Fast Track II. Hybrid course. Classes may meet less on campus than scheduled.,,"Dutch, Michael",KING 123,Second half of semester course,MW,6:00pm - 8:00pm,28,27,0/0,0/0,0,,
201710,Guilford,10478,BUS 215,001,4,Business Law & Legal Environmt,,,"Kane, Betty",KING 201,Full Term Courses,MW,11:30am - 12:45pm,26,25,,8/1,0,,
201710,Guilford,11117,BUS 215,002,4,Business Law & Legal Environmt,Hybrid course. Classes may meet less on campus than scheduled.,,"Ledford, Jennifer",KING 205,Full Term Courses,W,8:10pm - 10:10pm,24,27,0/0,0/0,3,,
201710,Guilford,11742,BUS 243,001,4,Management Information Systems,Prerequisite: An Introduction to Computers course or equivalent computer knowledge.,,"Turner, Thomas",BAUM 201,Full Term Courses,TR,1:00pm - 2:15pm,9,24,0/0,0/0,15,13,
201710,Guilford,11680,BUS 243,002,4,Management Information Systems,Prerequisite: An Introduction to Computers course or equivalent computer knowledge.,,"Raper, Michael",BAUM 201,Full Term Courses,T,7:25pm - 10:10pm,15,24,0/0,0/0,9,22,
201710,Guilford,11744,BUS 246,001,4,International Business,,,"Wang, Wenling",KING 205,Full Term Courses,TF,1:00pm - 2:15pm,16,25,,1/1,9,,
201710,Guilford,11670,BUS 246,002,4,International Business,Fast Track I.,,"Rashwan, Mamdouh",KING 201,First half of semester course,MW,6:00pm - 8:00pm,17,27,0/0,0/0,10,,
201710,Guilford,10488,BUS 249,001,4,Principles of Management,,,"Dutch, Michael",KING 205,Full Term Courses,MW,10:00am - 11:15am,26,23,,6/1,0,,
201710,Guilford,10489,BUS 249,002,4,Principles of Management,Fast Track I. Hybrid course. Clases may meet less on campus than scheduled.,,"Dutch, Michael",KING 123,First half of semester course,MW,6:00pm - 8:00pm,25,23,0/0,0/0,0,,
201710,Guilford,10839,BUS 310,001,4,Professional Communications,Fast Track II.  Prerequisite:  ENGL 102.,,"French, Timothy",KING 205,Second half of semester course,MW,6:00pm - 8:00pm,26,27,0/0,0/0,1,,
201710,Guilford,10496,BUS 321,001,4,Human Resource Law & Mgmt,Prerequisite: BUS 215 and BUS 249.,,"Morris, John",KING 201,Full Term Courses,W,8:10pm - 10:10pm,24,27,0/0,0/0,3,,
201710,Guilford,10501,BUS 324,001,4,Marketing Management,,,"Wang, Wenling",KING 205,Full Term Courses,TF,11:30am - 12:45pm,25,25,0/0,0/0,0,,
201710,Guilford,10502,BUS 324,002,4,Marketing Management,,,"Wang, Wenling",KING 205,Full Term Courses,M,8:10pm - 10:10pm,18,25,0/0,0/0,7,,
201710,Guilford,10503,BUS 332,001,4,Financial Management,"Prerequisites:  ACCT 201, ECON 221 or ECON 222, MATH 112, BUS 241 or BUS 243 and passing Business Math Test.",,"Samsell, Darryl",BAUM 201,Full Term Courses,W,8:10pm - 10:10pm,25,24,0/0,0/0,0,,
201710,Guilford,11886,BUS 333,001,4,Money and Capital Markets,Prerequisite: ECON 221.,,"Williams, Robert",KING B24,Full Term Courses,TR,1:00pm - 2:15pm,5,18,0/0,0/0,13,16,
201710,Guilford,11774,BUS 333,002,4,Money and Capital Markets,Fast Track II. Prerequisite: ECON 221.,,"Rashwan, Mamdouh",KING 222,Second half of semester course,MW,6:00pm - 8:00pm,16,25,0/0,0/0,9,23,
201710,Guilford,11671,BUS 347,001,4,Production & Operations Mgmt,"Fast Track I. Prerequisites: ACCT 201, ECON 221 or ECON 222, BUS 241 or BUS 243, and passing Business Math Test.",,"Bobko, Peter",BAUM 201,First half of semester course,MW,6:00pm - 8:00pm,21,24,0/0,0/0,3,,
201710,Guilford,12281,BUS 360,002,2,Adv Finance Topics,,,"Samsell, Darryl", ,Full Term Courses,TBA,TBA,1,25,0/0,0/0,24,,
201710,Guilford,11880,BUS 371,001,4,Non-Profit Management,Fast Track II. Hybrid course. Classes may meet less on campus than scheduled. This is the last offering of this coruse.,,"Serjoie, Ara",KING B25,Second half of semester course,MW,6:00pm - 8:00pm,10,25,0/0,0/0,15,,
201710,Guilford,11596,BUS 449,001,4,Policy Formulation & Strategy,"Prerequisites:  BUS 215, BUS 243, BUS 246, BUS 249, BUS 324, BUS 332, and BUS 347.",,"Samsell, Darryl",BAUM 201,Full Term Courses,MW,11:30am - 12:45pm,15,25,0/0,0/0,10,,
201710,Guilford,10508,BUS 449,002,4,Policy Formulation & Strategy,"Hybrid course. Classes may meet less on campus than scheduled. Prerequisites: BUS 215, BUS 243, BUS 246, BUS 249, BUS 324, BUS 332, and BUS 347.",,"Samsell, Darryl",BAUM 201,Full Term Courses,M,8:10pm - 10:10pm,16,25,0/0,0/0,9,,
201710,Guilford,10930,CHEM 111,001,4,Chemical Principles I,Prerequisite:  Satisfaction of qantitative literacy requirement. Corequisite:  Associated lab.,,"Jejurkar, Uma",FRNK 320,Full Term Courses,TRF,10:00am - 11:15am,16,24,,1/1,8,,
201710,Guilford,10931,CHEM 111,002,0,Lab,,,"Jejurkar, Uma",FRNK 317,Full Term Courses,M,2:30pm - 5:20pm,16,24,,1/1,8,,
201710,Guilford,10034,CHEM 112,001,4,Chemical Principles II,Corequisite:  CHEM 112 Lab day section. Prerequisite:  CHEM 111 with a grade of C- or better.,,"Millican, David",FRNK 320,Full Term Courses,TRF,8:30am - 9:45am,33,36,,4/1,3,,
201710,Guilford,10035,CHEM 112,002,4,Chemical Principles II,Corequisite: CHEM 112 Lab day section. Prerequisite:  CHEM 111 with a grade of C- or better.,,"Webster, Gail",FRNK 320,Full Term Courses,TRF,11:30am - 12:45pm,28,36,,3/1,8,,
201710,Guilford,10036,CHEM 112,003,0,Lab,,,"Whitnell, Robert",FRNK 317,Full Term Courses,T,2:30pm - 5:20pm,25,24,0/0,0/0,0,,
201710,Guilford,10037,CHEM 112,004,0,Lab,,,"Webster, Gail",FRNK 317,Full Term Courses,W,10:00am - 12:50pm,16,24,0/0,0/0,8,,
201710,Guilford,10038,CHEM 112,005,0,Lab,,,"Millican, David",FRNK 317,Full Term Courses,R,2:30pm - 5:20pm,20,24,0/0,0/0,4,,
201710,Guilford,11745,CHEM 115,001,4,Chemistry of Food and Cooking,Corequisite: Associated lab. Prerequisite: Satisfaction of Quantitative Literacy requirement.,,"Webster, Gail",FRNK 329,Full Term Courses,MR,1:00pm - 2:15pm,14,18,,3/1,4,,
201710,Guilford,11746,CHEM 115,002,0,Lab,,,"Webster, Gail",FRNK L17,Full Term Courses,T,2:30pm - 5:20pm,14,18,,3/1,4,,
201710,Guilford,10040,CHEM 232,001,4,Organic Chemistry II,Corequisite: CHEM 235. Prerequisite: CHEM 231 with a grade of C- or better.,,"Glenn, Anne",FRNK 220,Full Term Courses,TF,11:30am - 12:45pm,38,36,0/0,0/0,0,,
201710,Guilford,10041,CHEM 235,001,1,Integratd Lab for Organic Chem,Corequisite: CHEM 232.,,"Glenn, Anne",FRNK 101   FRNK 303,Full Term Courses,F   M,1:30pm - 2:20pm   2:30pm - 5:20pm,12,12,0/0,0/0,0,,
201710,Guilford,11253,CHEM 235,002,1,Integratd Lab for Organic Chem,Corequisite: CHEM 232.,,"Glenn, Anne   Jejurkar, Uma",FRNK 303   FRNK 101,Full Term Courses,T   F,2:30pm - 5:20pm   1:30pm - 2:20pm,12,12,0/0,0/0,0,,
201710,Guilford,11981,CHEM 235,003,1,Integratd Lab for Organic Chem,Corequisite: Chem 232.,,"Glenn, Anne",FRNK 303   FRNK 101,Full Term Courses,R   F,2:30pm - 5:20pm   1:30pm - 2:20pm,14,12,0/0,0/0,0,,
201710,Guilford,11866,CHEM 242,001,4,Intro to Inorganic Chemistry,Prerequisite: CHEM 231. Corequisite: Chem 345.,,"Whitnell, Robert",FRNK 329,Full Term Courses,TF,10:00am - 11:15am,8,16,0/0,0/0,8,,
201710,Guilford,11597,CHEM 341,001,4,Instrumental Analysis,"Corequisite:  CHEM 341 Lab.  Prerequisite:  CHEM 112, MATH 121.",,"Millican, David",FRNK 329,Full Term Courses,MW,8:30am - 9:45am,4,12,0/0,0/0,8,,
201710,Guilford,11598,CHEM 341,002,0,Lab,,,"Millican, David",FRNK 306,Full Term Courses,T,2:30pm - 5:20pm,4,12,0/0,0/0,8,,
201710,Guilford,10048,CHEM 345,001,1,Integratd Lab Inorganic Chem,Prerequisite: CHEM 235.,,"Whitnell, Robert",FRNK 306   FRNK 101,Full Term Courses,R   F,2:30pm - 5:20pm   1:30pm - 2:20pm,9,16,0/0,0/0,7,,
201710,Guilford,10051,CHEM 400,001,2,Chemistry Seminar,Prerequisite:  Any three chemistry courses that count for the chemistry major or minor and Historical Perspectives.,,"Whitnell, Robert",FRNK 320,Full Term Courses,T,6:00pm - 7:15pm,9,16,0/0,0/0,7,,
201710,Guilford,10846,CHEM 434,001,4,Biochemistry,Corequisite: Associated lab. Prerequisites: BIOL 111 and CHEM 232.,,"Lee-Brown, Melanie",FRNK 110,Full Term Courses,MWR,10:00am - 11:15am,8,11,0/0,0/0,3,17,
201710,Guilford,10847,CHEM 434,002,0,Lab,,,"Lee-Brown, Melanie",FRNK 110,Full Term Courses,M,2:30pm - 5:20pm,8,11,0/0,0/0,3,17,
201710,Guilford,11407,CHEM 475,001,2,Research Seminar,,,"Lee-Brown, Melanie",FRNK 110,Full Term Courses,W,6:00pm - 8:00pm,1,16,0/0,0/0,15,6,
201710,Guilford,11576,CTIS 210,001,4,Intro to Computer Programming,"Prerequisite: An Introduction to Computers course or equivalent computer knowledge, and Quantitative Literacy requirement.",,"Whitnell, Robert",BAUM L024,Full Term Courses,MW,10:00am - 11:15am,19,24,,4/1,5,,
201710,Guilford,11577,CTIS 210,002,4,Intro to Computer Programming,"Prerequisite: An Introduction to Computers course or equivalent computer knowledge, and Quantitative Literacy requirement.",,"Bou-Saba, Chafic",BAUM L024,Full Term Courses,TR,6:00pm - 7:15pm,6,24,0/0,0/0,18,,
201710,Guilford,11889,CTIS 221,001,4,Fundamentals of Cyber Security,Hybrid course.  Contact instructor for further information.,,"Burnett, Brian",BAUM 104,Full Term Courses,M,6:00pm - 8:00pm,15,20,0/0,0/0,5,19,
201710,Guilford,11743,CTIS 243,001,4,Management Information Systems,Prerequisite: An Introduction to Computers course or equivalent computer knowledge.,,"Turner, Thomas",BAUM 201,Full Term Courses,TR,1:00pm - 2:15pm,4,24,0/0,0/0,20,13,
201710,Guilford,11579,CTIS 243,002,4,Management Information Systems,Prerequisite: An Introduction to Computers course or equivalent computer knowledge.,,"Raper, Michael",BAUM 201,Full Term Courses,T,7:25pm - 10:10pm,7,24,0/0,0/0,17,22,
201710,Guilford,11582,CTIS 322,001,4,Networking Computers,Prerequisite:  CTIS 210 or CTIS 221.,,"Bou-Saba, Chafic",BAUM 201,Full Term Courses,R,7:25pm - 10:10pm,23,24,0/0,0/0,1,,
201710,Guilford,11780,CTIS 334,001,4,e-Business,Prerequisite: CTIS 210 and CTIS 243.,,"Schilhavy, Richard",BAUM L024,Full Term Courses,R,7:25pm - 10:10pm,11,24,0/0,0/0,13,,
201710,Guilford,11583,CTIS 342,001,4,Database Systems,Prerequisites:  CTIS 210 and CTIS 243.,,"Schilhavy, Richard",BAUM 201,Full Term Courses,TR,6:00pm - 7:15pm,11,24,0/0,0/0,13,,
201710,Guilford,11997,CTIS 371,001,4,Computer Forensics,Prerequisite: CTIS/JPS 221.,,"Pizio, William",KING 205,Full Term Courses,T,2:30pm - 5:20pm,4,0,0/0,0/0,0,,
201710,Guilford,11696,CTIS 440,001,4,CTIS Capstone,"Prerequisites: CTIS 321, CTIS 342 and one of the following: CTIS 310, CTIS 322, CTIS 345  or CTIS 334 or instructor permission.",,"Schilhavy, Richard",BAUM 104,Full Term Courses,T,7:25pm - 10:10pm,14,20,0/0,0/0,6,,
201710,Guilford,11998,CTIS 471,001,4,Adv Cyber and Network Security,Prerequisite: CTIS 370.,,"Bou-Saba, Chafic",BAUM 201,Full Term Courses,R,2:30pm - 5:20pm,3,0,0/0,0/0,0,,
201710,Guilford,10250,ECON 221,001,4,Macro:US in World Econ,,,"Williams, Robert",KING 202,Full Term Courses,MW,10:00am - 11:15am,9,35,0/0,0/0,26,,
201710,Guilford,10249,ECON 221,002,4,Macro:US in World Econ,,,"Williams, Robert",KING 202,Full Term Courses,MW,11:30am - 12:45pm,28,35,0/0,0/0,7,,
201710,Guilford,10838,ECON 221,003,4,Macro:US in World Econ,,,"Howard, Eric",KING 202,Full Term Courses,M,8:10pm - 10:10pm,8,35,0/0,0/0,27,,
201710,Guilford,10251,ECON 222,001,4,Micro:Public Policy,,,"Shelkova, Natalya",KING 222,Full Term Courses,TF,8:30am - 9:45am,9,35,0/0,0/0,26,,
201710,Guilford,10974,ECON 222,002,4,Micro:Public Policy,,,"Shelkova, Natalya",DUKE 303,Full Term Courses,TF,11:30am - 12:45pm,13,35,0/0,0/0,22,,
201710,Guilford,11885,ECON 333,001,4,Money and Capital Markets,Prerequisite: ECON 221.,,"Williams, Robert",KING B24,Full Term Courses,TR,1:00pm - 2:15pm,11,18,0/0,0/0,7,16,
201710,Guilford,11773,ECON 333,002,4,Money and Capital Markets,Fast Track II. Prerequisite: ECON 221.,,"Rashwan, Mamdouh",KING 222,Second half of semester course,MW,6:00pm - 8:00pm,7,25,0/0,0/0,18,23,
201710,Guilford,11858,ECON 441,001,4,Labor Economics,Prerequisite: ECON 222 or instructor permission.,,"Shelkova, Natalya",FRNK 329,Full Term Courses,MW,10:00am - 11:15am,11,18,0/0,0/0,7,,
201710,Guilford,10280,EDUC 201,001,4,Phlsphcl/Ethcl Refletion in Ed,,,"Burke, Julie",BAUM 202,Full Term Courses,TR,4:00pm - 5:15pm,22,30,0/0,0/0,8,,
